Fecha_Carga;SOLPED;NPOs;Centro;Material;Texto_Breve;Unidad_Medida;Numero_Parte;Cantidad_Solicitada;RANGO_FECHA;Accion_Usuario_Fecha;Contrato;Pedido;Pedido_Fecha;Pedido_Moneda;Pedido_Posicion_USD;Proveedor;Proveedor_RazonSocial;Stock_Coishco;Stock_Chancay;Stock_Pisco;Stock_Ilo;Stock_Callao;Comprador_Nombres;Accion_Solicitante_Desc;Reposicion_Automatica;Tipo_Material;Tipo_Material_Desc;Grupo_Articulo;Grupo_Articulo_Desc;Usuario_Area
2026-08-21 21:00:23.693000;1000000052;10;AG04;54000002;SACO NO MICROP. D/PP LAMIN BLANCO C/LOGO;UN;FT-0050                                 ;100;22 dias a mas;2026-01-19 00:00:00;          ;;1900-01-01 00:00:00;;0;          ;;361669;215750;441623;170781;0;LJUBICA BARBA     ;Comprar;NO;ZENV;Envases                  ;ENVHAR001;ENVASE HARINA       ;PRODUCCION                              
2026-08-21 21:00:23.693000;1000000092;60;AG04;50000001;GASOLINA EFITEC 95                      ;GLN;                                        ;200;22 dias a mas;2026-01-28 00:00:00;          ;;1900-01-01 00:00:00;;0;          ;;4;0;0;0;0;LJUBICA BARBA     ;Comprar;SI;ZSUM;Combus. Grasas y Lubrican;SUMCMB001;COMBUSTIBLES        ;ALMACENES                               
2026-08-21 21:00:23.693000;1000000092;90;AG04;50000001;GASOLINA EFITEC 95                      ;GLN;                                        ;200;22 dias a mas;2026-01-28 00:00:00;          ;;1900-01-01 00:00:00;;0;          ;;4;0;0;0;0;LJUBICA BARBA     ;Comprar;SI;ZSUM;Combus. Grasas y Lubrican;SUMCMB001;COMBUSTIBLES        ;ALMACENES                               
2026-08-21 21:00:23.693000;1000000146;140;AG04;52000413;P.C. ACIDO NITRICO AL 60%               ;KG;                                        ;12760;22 dias a mas;2026-02-09 00:00:00;          ;;1900-01-01 00:00:00;;0;          ;;0;0;0;0;0;LJUBICA BARBA     ;Comprar;NO;ZIQU;Insumos Químicos         ;IQUSAN001;SANEAMIENTO Y DESINF;PRODUCCION                              
2026-08-21 21:00:23.693000;1000000568;30;AG07;90005427;EVAP. 36,000 BTU YORK YFFE36BVTMAM-RX   ;EQ;                                        ;1;01 - 07 dias;2026-08-20 00:00:00;          ;;1900-01-01 00:00:00;;0;          ;;0;0;0;0;0;PATRICIA ALDAVES  ;Comprar;NO;ZMYE;Maquinarias y Equipos    ;MYEREF001;EQUIP. REFRIGERACIÓN;SERVICIOS GENERALES                     
2026-08-21 21:00:23.693000;1000000576;10;AG10;90005402;ELECTROBOMBA, HERMETIC,CNF 40-160,159 MM;EQ;12356BM1-CNF401604.5                    ;1;01 - 07 dias;2026-08-21 00:00:00;          ;;1900-01-01 00:00:00;;0;          ;;0;0;0;0;0;PATRICIA ALDAVES  ;Comprar;NO;ZMYE;Maquinarias y Equipos    ;MYEBOM001;BOMBAS              ;PLANEAMIENTO Y PROYECTOS                
2026-08-21 21:00:23.693000;1000000603;10;AG06;40005397;MOCHILA 5S AZUL                         ;UN;                                        ;30;08 - 14 dias;2026-08-11 00:00:00;          ;;1900-01-01 00:00:00;;0;          ;;0;0;0;0;0;ARIANA ALVAREZ    ;Comprar;NO;ZMDI;Materiales Diversos      ;MDIPOP001;MATERIALES POP      ;ESTRATEGIA Y MEJORA CONTINUA            
2026-08-21 21:00:23.693000;1000000603;20;AG06;40005395;CASACA CORTAVIENTO IMPERMEABLE 5S       ;UN;                                        ;76;15 - 21 dias;2026-08-04 00:00:00;          ;;1900-01-01 00:00:00;;0;          ;;0;0;0;0;0;ARIANA ALVAREZ    ;Comprar;NO;ZMDI;Materiales Diversos      ;MDIPOP001;MATERIALES POP      ;ESTRATEGIA Y MEJORA CONTINUA            
2026-08-21 21:00:23.693000;1000000603;30;AG07;40005397;MOCHILA 5S AZUL                         ;UN;                                        ;70;08 - 14 dias;2026-08-11 00:00:00;          ;;1900-01-01 00:00:00;;0;          ;;0;0;0;0;0;ARIANA ALVAREZ    ;Comprar;NO;ZMDI;Materiales Diversos      ;MDIPOP001;MATERIALES POP      ;ESTRATEGIA Y MEJORA CONTINUA            
2026-08-21 21:00:23.693000;1000000603;40;AG07;40005395;CASACA CORTAVIENTO IMPERMEABLE 5S       ;UN;                                        ;41;08 - 14 dias;2026-08-11 00:00:00;          ;;1900-01-01 00:00:00;;0;          ;;0;0;0;0;0;ARIANA ALVAREZ    ;Comprar;NO;ZMDI;Materiales Diversos      ;MDIPOP001;MATERIALES POP      ;ESTRATEGIA Y MEJORA CONTINUA            
